payment_id,policy_number,transaction_date,paid_amount
p-0001691,Policy-000151,3/21/2021,7817.08
p-0001692,Policy-000151,4/21/2021,7817.08
p-0001693,Policy-000166,2/27/2018,7817.08
p-0001694,Policy-000166,3/27/2018,7817.08
p-0001695,Policy-000166,4/27/2018,7817.08
p-0001696,Policy-000166,5/27/2018,7817.08
p-0001697,Policy-000166,6/27/2018,7817.08
p-0001698,Policy-000166,7/27/2018,7817.08
p-0001699,Policy-000166,8/27/2018,7817.08
p-0001700,Policy-000166,9/27/2018,7817.08
p-0001701,Policy-000166,10/27/2018,7817.08
p-0001702,Policy-000166,11/27/2018,7817.08
p-0001703,Policy-000166,12/27/2018,7817.08
p-0001704,Policy-000166,1/27/2019,7817.08
p-0001705,Policy-000225,4/27/2018,7817.08
p-0001706,Policy-000225,5/27/2018,7817.08
p-0001707,Policy-000225,6/27/2018,7817.08
p-0001708,Policy-000225,7/27/2018,7817.08
p-0001709,Policy-000225,8/27/2018,7817.08
p-0001710,Policy-000225,9/27/2018,7817.08
p-0001711,Policy-000225,10/27/2018,7817.08
p-0001712,Policy-000225,11/27/2018,7817.08
p-0001713,Policy-000225,12/27/2018,7817.08
p-0001714,Policy-000225,1/27/2019,7817.08
p-0001715,Policy-000225,2/27/2019,7817.08
p-0001716,Policy-000225,3/27/2019,7817.08
p-0001717,Policy-000225,4/27/2019,7817.08
p-0001718,Policy-000225,5/27/2019,7817.08
p-0001719,Policy-000225,6/27/2019,7817.08
p-0001720,Policy-000225,7/27/2019,7817.08
p-0001721,Policy-000225,8/27/2019,7817.08
p-0001722,Policy-000225,9/27/2019,7817.08
p-0001723,Policy-000225,10/27/2019,7817.08
p-0001724,Policy-000225,11/27/2019,7817.08
p-0001725,Policy-000225,12/27/2019,7817.08
p-0001726,Policy-000225,1/27/2020,7817.08
p-0001727,Policy-000225,2/27/2020,7817.08
p-0001728,Policy-000225,3/27/2020,7817.08
p-0001729,Policy-000225,4/27/2020,7817.08
p-0001730,Policy-000225,5/27/2020,7817.08
p-0001731,Policy-000225,6/27/2020,7817.08
p-0001732,Policy-000225,7/27/2020,7817.08
p-0001733,Policy-000225,8/27/2020,7817.08
p-0001734,Policy-000225,9/27/2020,7817.08
p-0001735,Policy-000225,10/27/2020,7817.08
p-0001736,Policy-000225,11/27/2020,7817.08
p-0001737,Policy-000225,12/27/2020,7817.08
p-0001738,Policy-000225,1/27/2021,7817.08
p-0001739,Policy-000225,2/27/2021,7817.08
p-0001740,Policy-000225,3/27/2021,7817.08
p-0001741,Policy-000236,6/25/2018,7817.08
p-0001742,Policy-000236,7/25/2018,7817.08
p-0001743,Policy-000236,8/25/2018,7817.08
p-0001744,Policy-000236,9/25/2018,7817.08
p-0001745,Policy-000236,10/25/2018,7817.08
p-0001746,Policy-000236,11/25/2018,7817.08
p-0001747,Policy-000236,12/25/2018,7817.08
p-0001748,Policy-000236,1/25/2019,7817.08
p-0001749,Policy-000236,2/25/2019,7817.08
p-0001750,Policy-000236,3/25/2019,7817.08
p-0001751,Policy-000236,4/25/2019,7817.08
p-0001752,Policy-000236,5/25/2019,7817.08
p-0001753,Policy-000236,6/25/2019,7817.08
p-0001754,Policy-000236,7/25/2019,7817.08
p-0001755,Policy-000236,8/25/2019,7817.08
p-0001756,Policy-000236,9/25/2019,7817.08
p-0001757,Policy-000236,10/25/2019,7817.08
p-0001758,Policy-000236,11/25/2019,7817.08
p-0001759,Policy-000236,12/25/2019,7817.08
p-0001760,Policy-000236,1/25/2020,7817.08
p-0001761,Policy-000236,2/25/2020,7817.08
p-0001762,Policy-000236,3/25/2020,7817.08
p-0001763,Policy-000236,4/25/2020,7817.08
p-0001764,Policy-000236,5/25/2020,7817.08
p-0001765,Policy-000236,6/25/2020,7817.08
p-0001766,Policy-000236,7/25/2020,7817.08
p-0001767,Policy-000236,8/25/2020,7817.08
p-0001768,Policy-000236,9/25/2020,7817.08
p-0001769,Policy-000236,10/25/2020,7817.08
p-0001770,Policy-000236,11/25/2020,7817.08
p-0001771,Policy-000236,12/25/2020,7817.08
p-0001772,Policy-000236,1/25/2021,7817.08
p-0001773,Policy-000236,2/25/2021,7817.08
p-0001774,Policy-000236,3/25/2021,7817.08
p-0001775,Policy-000236,4/25/2021,7817.08
p-0001776,Policy-000236,5/25/2021,7817.08
p-0001777,Policy-000245,5/16/2018,7817.08
p-0001778,Policy-000245,6/16/2018,7817.08
p-0001779,Policy-000245,7/16/2018,7817.08
p-0001780,Policy-000245,8/16/2018,7817.08
p-0001781,Policy-000245,9/16/2018,7817.08
p-0001782,Policy-000245,10/16/2018,7817.08
p-0001783,Policy-000245,11/16/2018,7817.08
p-0001784,Policy-000245,12/16/2018,7817.08
p-0001785,Policy-000245,1/16/2019,7817.08
p-0001786,Policy-000245,2/16/2019,7817.08
p-0001787,Policy-000245,3/16/2019,7817.08
p-0001788,Policy-000245,4/16/2019,7817.08
p-0001789,Policy-000245,5/16/2019,7817.08
p-0001790,Policy-000245,6/16/2019,7817.08
p-0001791,Policy-000245,7/16/2019,7817.08
p-0001792,Policy-000245,8/16/2019,7817.08
p-0001793,Policy-000245,9/16/2019,7817.08
p-0001794,Policy-000245,10/16/2019,7817.08
p-0001795,Policy-000245,11/16/2019,7817.08
p-0001796,Policy-000245,12/16/2019,7817.08
p-0001797,Policy-000245,1/16/2020,7817.08
p-0001798,Policy-000245,2/16/2020,7817.08
p-0001799,Policy-000245,3/16/2020,7817.08
p-0001800,Policy-000245,4/16/2020,7817.08
p-0001801,Policy-000245,5/16/2020,7817.08
p-0001802,Policy-000245,6/16/2020,7817.08
p-0001803,Policy-000245,7/16/2020,7817.08
p-0001804,Policy-000245,8/16/2020,7817.08
p-0001805,Policy-000245,9/16/2020,7817.08
p-0001806,Policy-000245,10/16/2020,7817.08
p-0001807,Policy-000245,11/16/2020,7817.08
p-0001808,Policy-000245,12/16/2020,7817.08
p-0001809,Policy-000245,1/16/2021,7817.08
p-0001810,Policy-000245,2/16/2021,7817.08
p-0001811,Policy-000245,3/16/2021,7817.08
p-0001812,Policy-000245,4/16/2021,7817.08
p-0001813,Policy-000269,4/25/2018,7817.08
p-0001814,Policy-000269,5/25/2018,7817.08
p-0001815,Policy-000269,6/25/2018,7817.08
p-0001816,Policy-000269,7/25/2018,7817.08
p-0001817,Policy-000269,8/25/2018,7817.08
p-0001818,Policy-000269,9/25/2018,7817.08
p-0001819,Policy-000269,10/25/2018,7817.08
p-0001820,Policy-000269,11/25/2018,7817.08
p-0001821,Policy-000269,12/25/2018,7817.08
p-0001822,Policy-000269,1/25/2019,7817.08
p-0001823,Policy-000269,2/25/2019,7817.08
p-0001824,Policy-000269,3/25/2019,7817.08
p-0001825,Policy-000269,4/25/2019,7817.08
p-0001826,Policy-000269,5/25/2019,7817.08
p-0001827,Policy-000269,6/25/2019,7817.08
p-0001828,Policy-000269,7/25/2019,7817.08
p-0001829,Policy-000269,8/25/2019,7817.08
p-0001830,Policy-000269,9/25/2019,7817.08
p-0001831,Policy-000269,10/25/2019,7817.08
p-0001832,Policy-000269,11/25/2019,7817.08
p-0001833,Policy-000269,12/25/2019,7817.08
p-0001834,Policy-000269,1/25/2020,7817.08
p-0001835,Policy-000269,2/25/2020,7817.08
p-0001836,Policy-000269,3/25/2020,7817.08
p-0001837,Policy-000269,4/25/2020,7817.08
p-0001838,Policy-000269,5/25/2020,7817.08
p-0001839,Policy-000269,6/25/2020,7817.08
p-0001840,Policy-000269,7/25/2020,7817.08
p-0001841,Policy-000269,8/25/2020,7817.08
p-0001842,Policy-000269,9/25/2020,7817.08
p-0001843,Policy-000269,10/25/2020,7817.08
p-0001844,Policy-000269,11/25/2020,7817.08
p-0001845,Policy-000269,12/25/2020,7817.08
p-0001846,Policy-000269,1/25/2021,7817.08
p-0001847,Policy-000269,2/25/2021,7817.08
p-0001848,Policy-000269,3/25/2021,7817.08
p-0001849,Policy-000299,6/19/2018,7817.08
p-0001850,Policy-000299,7/19/2018,7817.08
p-0001851,Policy-000299,8/19/2018,7817.08
p-0001852,Policy-000299,9/19/2018,7817.08
p-0001853,Policy-000299,10/19/2018,7817.08
p-0001854,Policy-000299,11/19/2018,7817.08
p-0001855,Policy-000299,12/19/2018,7817.08
p-0001856,Policy-000299,1/19/2019,7817.08
p-0001857,Policy-000299,2/19/2019,7817.08
p-0001858,Policy-000299,3/19/2019,7817.08
p-0001859,Policy-000299,4/19/2019,7817.08
p-0001860,Policy-000299,5/19/2019,7817.08
p-0001861,Policy-000299,6/19/2019,7817.08
p-0001862,Policy-000299,7/19/2019,7817.08
p-0001863,Policy-000299,8/19/2019,7817.08
p-0001864,Policy-000299,9/19/2019,7817.08
p-0001865,Policy-000299,10/19/2019,7817.08
p-0001866,Policy-000299,11/19/2019,7817.08
p-0001867,Policy-000299,12/19/2019,7817.08
p-0001868,Policy-000299,1/19/2020,7817.08
p-0001869,Policy-000299,2/19/2020,7817.08
p-0001870,Policy-000299,3/19/2020,7817.08
p-0001871,Policy-000299,4/19/2020,7817.08
p-0001872,Policy-000299,5/19/2020,7817.08
p-0001873,Policy-000299,6/19/2020,7817.08
p-0001874,Policy-000299,7/19/2020,7817.08
p-0001875,Policy-000299,8/19/2020,7817.08
p-0001876,Policy-000299,9/19/2020,7817.08
p-0001877,Policy-000299,10/19/2020,7817.08
p-0001878,Policy-000299,11/19/2020,7817.08
p-0001879,Policy-000299,12/19/2020,7817.08
p-0001880,Policy-000299,1/19/2021,7817.08
p-0001881,Policy-000299,2/19/2021,7817.08
p-0001882,Policy-000299,3/19/2021,7817.08
p-0001883,Policy-000299,4/19/2021,7817.08
p-0001884,Policy-000299,5/19/2021,7817.08
p-0001885,Policy-000305,9/17/2018,7817.08
p-0001886,Policy-000305,10/17/2018,7817.08
p-0001887,Policy-000305,11/17/2018,7817.08
p-0001888,Policy-000305,12/17/2018,7817.08
p-0001889,Policy-000305,1/17/2019,7817.08
p-0001890,Policy-000305,2/17/2019,7817.08
p-0001891,Policy-000305,3/17/2019,7817.08
p-0001892,Policy-000305,4/17/2019,7817.08
p-0001893,Policy-000305,5/17/2019,7817.08
p-0001894,Policy-000305,6/17/2019,7817.08
p-0001895,Policy-000305,7/17/2019,7817.08
p-0001896,Policy-000305,8/17/2019,7817.08
p-0001897,Policy-000306,1/3/2018,7817.08
p-0001898,Policy-000306,2/3/2018,7817.08
p-0001899,Policy-000306,3/3/2018,7817.08
p-0001900,Policy-000306,4/3/2018,7817.08
p-0001901,Policy-000306,5/3/2018,7817.08
p-0001902,Policy-000306,6/3/2018,7817.08
p-0001903,Policy-000306,7/3/2018,7817.08
p-0001904,Policy-000306,8/3/2018,7817.08
p-0001905,Policy-000306,9/3/2018,7817.08
p-0001906,Policy-000306,10/3/2018,7817.08
p-0001907,Policy-000306,11/3/2018,7817.08
p-0001908,Policy-000306,12/3/2018,7817.08
p-0001909,Policy-000306,1/3/2019,7817.08
p-0001910,Policy-000306,2/3/2019,7817.08
p-0001911,Policy-000306,3/3/2019,7817.08
p-0001912,Policy-000306,4/3/2019,7817.08
p-0001913,Policy-000306,5/3/2019,7817.08
p-0001914,Policy-000306,6/3/2019,7817.08
p-0001915,Policy-000306,7/3/2019,7817.08
p-0001916,Policy-000306,8/3/2019,7817.08
p-0001917,Policy-000306,9/3/2019,7817.08
p-0001918,Policy-000306,10/3/2019,7817.08
p-0001919,Policy-000306,11/3/2019,7817.08
p-0001920,Policy-000306,12/3/2019,7817.08
p-0001921,Policy-000306,1/3/2020,7817.08
p-0001922,Policy-000306,2/3/2020,7817.08
p-0001923,Policy-000306,3/3/2020,7817.08
p-0001924,Policy-000306,4/3/2020,7817.08
p-0001925,Policy-000306,5/3/2020,7817.08
p-0001926,Policy-000306,6/3/2020,7817.08
p-0001927,Policy-000306,7/3/2020,7817.08
p-0001928,Policy-000306,8/3/2020,7817.08
p-0001929,Policy-000306,9/3/2020,7817.08
p-0001930,Policy-000306,10/3/2020,7817.08
p-0001931,Policy-000306,11/3/2020,7817.08
p-0001932,Policy-000306,12/3/2020,7817.08
p-0001933,Policy-000323,5/3/2018,7817.08
p-0001934,Policy-000323,6/3/2018,7817.08
p-0001935,Policy-000323,7/3/2018,7817.08
p-0001936,Policy-000323,8/3/2018,7817.08
p-0001937,Policy-000323,9/3/2018,7817.08
p-0001938,Policy-000323,10/3/2018,7817.08
p-0001939,Policy-000323,11/3/2018,7817.08
p-0001940,Policy-000323,12/3/2018,7817.08
p-0001941,Policy-000323,1/3/2019,7817.08
p-0001942,Policy-000323,2/3/2019,7817.08
p-0001943,Policy-000323,3/3/2019,7817.08
p-0001944,Policy-000323,4/3/2019,7817.08
p-0001945,Policy-000340,6/22/2018,7817.08
p-0001946,Policy-000340,7/22/2018,7817.08
p-0001947,Policy-000340,8/22/2018,7817.08
p-0001948,Policy-000340,9/22/2018,7817.08
p-0001949,Policy-000340,10/22/2018,7817.08
p-0001950,Policy-000340,11/22/2018,7817.08
p-0001951,Policy-000340,12/22/2018,7817.08
p-0001952,Policy-000340,1/22/2019,7817.08
p-0001953,Policy-000340,2/22/2019,7817.08
p-0001954,Policy-000340,3/22/2019,7817.08
p-0001955,Policy-000340,4/22/2019,7817.08
p-0001956,Policy-000340,5/22/2019,7817.08
p-0001957,Policy-000344,4/9/2018,7817.08
p-0001958,Policy-000344,5/9/2018,7817.08
p-0001959,Policy-000344,6/9/2018,7817.08
p-0001960,Policy-000344,7/9/2018,7817.08
p-0001961,Policy-000344,8/9/2018,7817.08
p-0001962,Policy-000344,9/9/2018,7817.08
p-0001963,Policy-000344,10/9/2018,7817.08
p-0001964,Policy-000344,11/9/2018,7817.08
p-0001965,Policy-000344,12/9/2018,7817.08
p-0001966,Policy-000344,1/9/2019,7817.08
p-0001967,Policy-000344,2/9/2019,7817.08
p-0001968,Policy-000344,3/9/2019,7817.08
p-0001969,Policy-000355,3/23/2018,7817.08
p-0001970,Policy-000355,4/23/2018,7817.08
p-0001971,Policy-000355,5/23/2018,7817.08
p-0001972,Policy-000355,6/23/2018,7817.08
p-0001973,Policy-000355,7/23/2018,7817.08
p-0001974,Policy-000355,8/23/2018,7817.08
p-0001975,Policy-000355,9/23/2018,7817.08
p-0001976,Policy-000355,10/23/2018,7817.08
p-0001977,Policy-000355,11/23/2018,7817.08
p-0001978,Policy-000355,12/23/2018,7817.08
p-0001979,Policy-000355,1/23/2019,7817.08
p-0001980,Policy-000355,2/23/2019,7817.08
p-0001981,Policy-000355,3/23/2019,7817.08
p-0001982,Policy-000355,4/23/2019,7817.08
p-0001983,Policy-000355,5/23/2019,7817.08
p-0001984,Policy-000355,6/23/2019,7817.08
p-0001985,Policy-000355,7/23/2019,7817.08
p-0001986,Policy-000355,8/23/2019,7817.08
p-0001987,Policy-000355,9/23/2019,7817.08
p-0001988,Policy-000355,10/23/2019,7817.08
p-0001989,Policy-000355,11/23/2019,7817.08
p-0001990,Policy-000355,12/23/2019,7817.08
p-0001991,Policy-000355,1/23/2020,7817.08
p-0001992,Policy-000355,2/23/2020,7817.08
p-0001993,Policy-000355,3/23/2020,7817.08
p-0001994,Policy-000355,4/23/2020,7817.08
p-0001995,Policy-000355,5/23/2020,7817.08
p-0001996,Policy-000355,6/23/2020,7817.08
p-0001997,Policy-000355,7/23/2020,7817.08
p-0001998,Policy-000355,8/23/2020,7817.08
p-0001999,Policy-000355,9/23/2020,7817.08
p-0002000,Policy-000355,10/23/2020,7817.08
p-0002001,Policy-000355,11/23/2020,7817.08
p-0002002,Policy-000355,12/23/2020,7817.08
p-0002003,Policy-000355,1/23/2021,7817.08
p-0002004,Policy-000355,2/23/2021,7817.08
p-0002005,Policy-000363,6/17/2018,7817.08
p-0002006,Policy-000363,7/17/2018,7817.08
p-0002007,Policy-000363,8/17/2018,7817.08
p-0002008,Policy-000363,9/17/2018,7817.08
p-0002009,Policy-000363,10/17/2018,7817.08
p-0002010,Policy-000363,11/17/2018,7817.08
p-0002011,Policy-000363,12/17/2018,7817.08
p-0002012,Policy-000363,1/17/2019,7817.08
p-0002013,Policy-000363,2/17/2019,7817.08
p-0002014,Policy-000363,3/17/2019,7817.08
p-0002015,Policy-000363,4/17/2019,7817.08
p-0002016,Policy-000363,5/17/2019,7817.08
p-0002017,Policy-000363,6/17/2019,7817.08
p-0002018,Policy-000363,7/17/2019,7817.08
p-0002019,Policy-000363,8/17/2019,7817.08
p-0002020,Policy-000363,9/17/2019,7817.08
p-0002021,Policy-000363,10/17/2019,7817.08
p-0002022,Policy-000363,11/17/2019,7817.08
p-0002023,Policy-000363,12/17/2019,7817.08
p-0002024,Policy-000363,1/17/2020,7817.08
p-0002025,Policy-000363,2/17/2020,7817.08
p-0002026,Policy-000363,3/17/2020,7817.08
p-0002027,Policy-000363,4/17/2020,7817.08
p-0002028,Policy-000363,5/17/2020,7817.08
p-0002029,Policy-000363,6/17/2020,7817.08
p-0002030,Policy-000363,7/17/2020,7817.08
p-0002031,Policy-000363,8/17/2020,7817.08
p-0002032,Policy-000363,9/17/2020,7817.08
p-0002033,Policy-000363,10/17/2020,7817.08
p-0002034,Policy-000363,11/17/2020,7817.08
p-0002035,Policy-000363,12/17/2020,7817.08
p-0002036,Policy-000363,1/17/2021,7817.08
p-0002037,Policy-000363,2/17/2021,7817.08
p-0002038,Policy-000363,3/17/2021,7817.08
p-0002039,Policy-000363,4/17/2021,7817.08
p-0002040,Policy-000363,5/17/2021,7817.08
p-0002041,Policy-000411,5/11/2018,7817.08
p-0002042,Policy-000411,6/11/2018,7817.08
p-0002043,Policy-000411,7/11/2018,7817.08
p-0002044,Policy-000411,8/11/2018,7817.08
p-0002045,Policy-000411,9/11/2018,7817.08
p-0002046,Policy-000411,10/11/2018,7817.08
p-0002047,Policy-000411,11/11/2018,7817.08
p-0002048,Policy-000411,12/11/2018,7817.08
p-0002049,Policy-000411,1/11/2019,7817.08
p-0002050,Policy-000411,2/11/2019,7817.08
p-0002051,Policy-000411,3/11/2019,7817.08
p-0002052,Policy-000411,4/11/2019,7817.08
p-0002053,Policy-000411,5/11/2019,7817.08
p-0002054,Policy-000411,6/11/2019,7817.08
p-0002055,Policy-000411,7/11/2019,7817.08
p-0002056,Policy-000411,8/11/2019,7817.08
p-0002057,Policy-000411,9/11/2019,7817.08
p-0002058,Policy-000411,10/11/2019,7817.08
p-0002059,Policy-000411,11/11/2019,7817.08
p-0002060,Policy-000411,12/11/2019,7817.08
p-0002061,Policy-000411,1/11/2020,7817.08
p-0002062,Policy-000411,2/11/2020,7817.08
p-0002063,Policy-000411,3/11/2020,7817.08
p-0002064,Policy-000411,4/11/2020,7817.08
p-0002065,Policy-000411,5/11/2020,7817.08
p-0002066,Policy-000411,6/11/2020,7817.08
p-0002067,Policy-000411,7/11/2020,7817.08
p-0002068,Policy-000411,8/11/2020,7817.08
p-0002069,Policy-000411,9/11/2020,7817.08
p-0002070,Policy-000411,10/11/2020,7817.08
p-0002071,Policy-000411,11/11/2020,7817.08
p-0002072,Policy-000411,12/11/2020,7817.08
p-0002073,Policy-000411,1/11/2021,7817.08
p-0002074,Policy-000411,2/11/2021,7817.08
p-0002075,Policy-000411,3/11/2021,7817.08
p-0002076,Policy-000411,4/11/2021,7817.08
p-0002077,Policy-000416,9/28/2018,7817.08
p-0002078,Policy-000416,10/28/2018,7817.08
p-0002079,Policy-000416,11/28/2018,7817.08
p-0002080,Policy-000416,12/28/2018,7817.08
p-0002081,Policy-000416,1/28/2019,7817.08
p-0002082,Policy-000416,2/28/2019,7817.08
p-0002083,Policy-000416,3/28/2019,7817.08
p-0002084,Policy-000416,4/28/2019,7817.08
p-0002085,Policy-000416,5/28/2019,7817.08
p-0002086,Policy-000416,6/28/2019,7817.08
p-0002087,Policy-000416,7/28/2019,7817.08
p-0002088,Policy-000416,8/28/2019,7817.08
p-0002089,Policy-000416,9/28/2019,7817.08
p-0002090,Policy-000416,10/28/2019,7817.08
p-0002091,Policy-000416,11/28/2019,7817.08
p-0002092,Policy-000416,12/28/2019,7817.08
p-0002093,Policy-000416,1/28/2020,7817.08
p-0002094,Policy-000416,2/28/2020,7817.08
p-0002095,Policy-000416,3/28/2020,7817.08
p-0002096,Policy-000416,4/28/2020,7817.08
p-0002097,Policy-000416,5/28/2020,7817.08
p-0002098,Policy-000416,6/28/2020,7817.08
p-0002099,Policy-000416,7/28/2020,7817.08
p-0002100,Policy-000416,8/28/2020,7817.08
p-0002101,Policy-000416,9/28/2020,7817.08
p-0002102,Policy-000416,10/28/2020,7817.08
p-0002103,Policy-000416,11/28/2020,7817.08
p-0002104,Policy-000416,12/28/2020,7817.08
p-0002105,Policy-000416,1/28/2021,7817.08
p-0002106,Policy-000416,2/28/2021,7817.08
p-0002107,Policy-000416,3/28/2021,7817.08
p-0002108,Policy-000416,4/28/2021,7817.08
p-0002109,Policy-000416,5/28/2021,7817.08
p-0002110,Policy-000416,6/28/2021,7817.08
p-0002111,Policy-000416,7/28/2021,7817.08
p-0002112,Policy-000416,8/28/2021,7817.08
p-0002113,Policy-000420,4/12/2018,7817.08
p-0002114,Policy-000420,5/12/2018,7817.08
p-0002115,Policy-000420,6/12/2018,7817.08
p-0002116,Policy-000420,7/12/2018,7817.08
p-0002117,Policy-000420,8/12/2018,7817.08
p-0002118,Policy-000420,9/12/2018,7817.08
p-0002119,Policy-000420,10/12/2018,7817.08
p-0002120,Policy-000420,11/12/2018,7817.08
p-0002121,Policy-000420,12/12/2018,7817.08
p-0002122,Policy-000420,1/12/2019,7817.08
p-0002123,Policy-000420,2/12/2019,7817.08
p-0002124,Policy-000420,3/12/2019,7817.08
p-0002125,Policy-000430,5/1/2018,7817.08
p-0002126,Policy-000430,6/1/2018,7817.08
p-0002127,Policy-000430,7/1/2018,7817.08
p-0002128,Policy-000430,8/1/2018,7817.08
p-0002129,Policy-000430,9/1/2018,7817.08
p-0002130,Policy-000430,10/1/2018,7817.08
p-0002131,Policy-000430,11/1/2018,7817.08
p-0002132,Policy-000430,12/1/2018,7817.08
p-0002133,Policy-000430,1/1/2019,7817.08
p-0002134,Policy-000430,2/1/2019,7817.08
p-0002135,Policy-000430,3/1/2019,7817.08
p-0002136,Policy-000430,4/1/2019,7817.08
p-0002137,Policy-000464,1/2/2018,7817.08
p-0002138,Policy-000464,2/2/2018,7817.08
p-0002139,Policy-000464,3/2/2018,7817.08
p-0002140,Policy-000464,4/2/2018,7817.08
p-0002141,Policy-000464,5/2/2018,7817.08
p-0002142,Policy-000464,6/2/2018,7817.08
p-0002143,Policy-000464,7/2/2018,7817.08
p-0002144,Policy-000464,8/2/2018,7817.08
p-0002145,Policy-000464,9/2/2018,7817.08
p-0002146,Policy-000464,10/2/2018,7817.08
p-0002147,Policy-000464,11/2/2018,7817.08
p-0002148,Policy-000464,12/2/2018,7817.08
p-0002149,Policy-000464,1/2/2019,7817.08
p-0002150,Policy-000464,2/2/2019,7817.08
p-0002151,Policy-000464,3/2/2019,7817.08
p-0002152,Policy-000464,4/2/2019,7817.08
p-0002153,Policy-000464,5/2/2019,7817.08
p-0002154,Policy-000464,6/2/2019,7817.08
p-0002155,Policy-000464,7/2/2019,7817.08
p-0002156,Policy-000464,8/2/2019,7817.08
p-0002157,Policy-000464,9/2/2019,7817.08
p-0002158,Policy-000464,10/2/2019,7817.08
p-0002159,Policy-000464,11/2/2019,7817.08
p-0002160,Policy-000464,12/2/2019,7817.08
p-0002161,Policy-000464,1/2/2020,7817.08
p-0002162,Policy-000464,2/2/2020,7817.08
p-0002163,Policy-000464,3/2/2020,7817.08
p-0002164,Policy-000464,4/2/2020,7817.08
p-0002165,Policy-000464,5/2/2020,7817.08
p-0002166,Policy-000464,6/2/2020,7817.08
p-0002167,Policy-000464,7/2/2020,7817.08
p-0002168,Policy-000464,8/2/2020,7817.08
p-0002169,Policy-000464,9/2/2020,7817.08
p-0002170,Policy-000464,10/2/2020,7817.08
p-0002171,Policy-000464,11/2/2020,7817.08
p-0002172,Policy-000464,12/2/2020,7817.08
p-0002173,Policy-000481,5/17/2018,7817.08
p-0002174,Policy-000481,6/17/2018,7817.08
p-0002175,Policy-000481,7/17/2018,7817.08
p-0002176,Policy-000481,8/17/2018,7817.08
p-0002177,Policy-000481,9/17/2018,7817.08
p-0002178,Policy-000481,10/17/2018,7817.08
p-0002179,Policy-000481,11/17/2018,7817.08
p-0002180,Policy-000481,12/17/2018,7817.08
p-0002181,Policy-000481,1/17/2019,7817.08
p-0002182,Policy-000481,2/17/2019,7817.08
p-0002183,Policy-000481,3/17/2019,7817.08
p-0002184,Policy-000481,4/17/2019,7817.08
p-0002185,Policy-000487,6/17/2018,7817.08
p-0002186,Policy-000487,7/17/2018,7817.08
p-0002187,Policy-000487,8/17/2018,7817.08
p-0002188,Policy-000487,9/17/2018,7817.08
p-0002189,Policy-000487,10/17/2018,7817.08
p-0002190,Policy-000487,11/17/2018,7817.08
p-0002191,Policy-000487,12/17/2018,7817.08
p-0002192,Policy-000487,1/17/2019,7817.08
p-0002193,Policy-000487,2/17/2019,7817.08
p-0002194,Policy-000487,3/17/2019,7817.08
p-0002195,Policy-000487,4/17/2019,7817.08
p-0002196,Policy-000487,5/17/2019,7817.08
p-0002197,Policy-000487,6/17/2019,7817.08
p-0002198,Policy-000487,7/17/2019,7817.08
p-0002199,Policy-000487,8/17/2019,7817.08
p-0002200,Policy-000487,9/17/2019,7817.08
p-0002201,Policy-000487,10/17/2019,7817.08
p-0002202,Policy-000487,11/17/2019,7817.08
p-0002203,Policy-000487,12/17/2019,7817.08
p-0002204,Policy-000487,1/17/2020,7817.08
p-0002205,Policy-000487,2/17/2020,7817.08
p-0002206,Policy-000487,3/17/2020,7817.08
p-0002207,Policy-000487,4/17/2020,7817.08
p-0002208,Policy-000487,5/17/2020,7817.08
p-0002209,Policy-000487,6/17/2020,7817.08
p-0002210,Policy-000487,7/17/2020,7817.08
p-0002211,Policy-000487,8/17/2020,7817.08
p-0002212,Policy-000487,9/17/2020,7817.08
p-0002213,Policy-000487,10/17/2020,7817.08
p-0002214,Policy-000487,11/17/2020,7817.08
p-0002215,Policy-000487,12/17/2020,7817.08
p-0002216,Policy-000487,1/17/2021,7817.08
p-0002217,Policy-000487,2/17/2021,7817.08
p-0002218,Policy-000487,3/17/2021,7817.08
p-0002219,Policy-000487,4/17/2021,7817.08
p-0002220,Policy-000487,5/17/2021,7817.08
p-0002221,Policy-000492,6/24/2018,7817.08
p-0002222,Policy-000492,7/24/2018,7817.08
p-0002223,Policy-000492,8/24/2018,7817.08
p-0002224,Policy-000492,9/24/2018,7817.08
p-0002225,Policy-000492,10/24/2018,7817.08
p-0002226,Policy-000492,11/24/2018,7817.08
p-0002227,Policy-000492,12/24/2018,7817.08
p-0002228,Policy-000492,1/24/2019,7817.08
p-0002229,Policy-000492,2/24/2019,7817.08
p-0002230,Policy-000492,3/24/2019,7817.08
p-0002231,Policy-000492,4/24/2019,7817.08
p-0002232,Policy-000492,5/24/2019,7817.08
p-0002233,Policy-000492,6/24/2019,7817.08
p-0002234,Policy-000492,7/24/2019,7817.08
p-0002235,Policy-000492,8/24/2019,7817.08
p-0002236,Policy-000492,9/24/2019,7817.08
p-0002237,Policy-000492,10/24/2019,7817.08
p-0002238,Policy-000492,11/24/2019,7817.08
p-0002239,Policy-000492,12/24/2019,7817.08
p-0002240,Policy-000492,1/24/2020,7817.08
p-0002241,Policy-000492,2/24/2020,7817.08
p-0002242,Policy-000492,3/24/2020,7817.08
p-0002243,Policy-000492,4/24/2020,7817.08
p-0002244,Policy-000492,5/24/2020,7817.08
p-0002245,Policy-000492,6/24/2020,7817.08
p-0002246,Policy-000492,7/24/2020,7817.08
p-0002247,Policy-000492,8/24/2020,7817.08
p-0002248,Policy-000492,9/24/2020,7817.08
p-0002249,Policy-000492,10/24/2020,7817.08
