claim_number,reimbursement_number,amount_approved,reimbursement_date
Claim-0002723,Reimbursement-0001693,1071587.55,3/16/2019
Claim-000181,Reimbursement-000589,768790.08,1/24/2019
Claim-000332,Reimbursement-000825,837883.87,5/31/2019
Claim-0001164,Reimbursement-000149,942011.14,1/19/2019
Claim-000194,Reimbursement-000601,1324658.69,8/25/2018
Claim-0002464,Reimbursement-0001009,1263768.67,3/14/2019
Claim-000203,Reimbursement-000774,969149.52,7/23/2019
Claim-000859,Reimbursement-0001357,1040098.58,9/30/2019
Claim-0001896,Reimbursement-0001404,1056921.55,8/5/2020
Claim-000214,Reimbursement-000411,1272521.81,11/25/2018
Claim-0002676,Reimbursement-000981,886431.6,10/7/2018
Claim-000316,Reimbursement-0003406,1357321.72,10/4/2018
Claim-000673,Reimbursement-000487,1275756.93,11/3/2018
Claim-000344,Reimbursement-0001172,913877.63,6/8/2019
Claim-0002066,Reimbursement-000581,786722.76,10/10/2019
Claim-0002747,Reimbursement-0003057,891874.97,3/31/2019
Claim-000366,Reimbursement-0002332,864111.54,11/3/2019
Claim-0003292,Reimbursement-0001250,822721.54,1/6/2019
Claim-000378,Reimbursement-0001527,952590.24,10/9/2020
Claim-0001638,Reimbursement-0002412,1083337.92,6/18/2019
Claim-000385,Reimbursement-0001096,982914.91,9/23/2021
Claim-0002779,Reimbursement-000717,1326155.04,6/29/2021
Claim-000397,Reimbursement-0003630,969636.1,12/16/2018
Claim-0003555,Reimbursement-0003582,1366917.55,8/7/2019
Claim-000405,Reimbursement-0003607,1144294.91,10/28/2018
Claim-0001067,Reimbursement-000450,1114572.96,3/10/2019
Claim-0001979,Reimbursement-000533,1292629.43,6/28/2019
Claim-0003580,Reimbursement-00079,857533.17,8/23/2018
Claim-000408,Reimbursement-0001669,1213963.52,9/22/2019
Claim-000811,Reimbursement-0003447,1054492.86,2/6/2020
Claim-0001076,Reimbursement-00025,1044008.63,6/20/2020
Claim-0001802,Reimbursement-0001941,869087.52,6/27/2019
Claim-0001898,Reimbursement-0002237,1002623.51,9/2/2019
Claim-0002034,Reimbursement-0002542,959031.18,1/30/2020
Claim-0003281,Reimbursement-0002767,1350534.42,10/5/2019
Claim-000427,Reimbursement-0001776,1175316.48,11/7/2018
Claim-0003440,Reimbursement-0002375,858906.05,8/20/2018
Claim-000455,Reimbursement-000425,1417893.28,10/26/2018
Claim-0001180,Reimbursement-0001020,1019314.98,8/15/2019
Claim-0002071,Reimbursement-000481,1412547.22,12/28/2018
Claim-0002489,Reimbursement-0003022,1430367.41,8/14/2018
Claim-0002759,Reimbursement-0003615,1347206.52,12/31/2018
Claim-000473,Reimbursement-000837,879509.66,9/2/2019
Claim-0001282,Reimbursement-0003614,1050278.66,8/5/2019
Claim-0001959,Reimbursement-0002692,1315809.63,12/17/2018
Claim-000475,Reimbursement-0001516,1294543.3,5/1/2019
Claim-000623,Reimbursement-0002981,1283072.66,12/22/2019
Claim-000933,Reimbursement-0002104,927756.03,1/17/2020
Claim-0001742,Reimbursement-000438,1150341.01,1/11/2020
Claim-0002036,Reimbursement-0002019,996306.74,2/27/2020
Claim-0002387,Reimbursement-0003466,1235551.45,8/24/2019
Claim-000528,Reimbursement-0003498,1120526.98,6/19/2019
Claim-0001138,Reimbursement-0001341,1002822.5,9/11/2019
Claim-0001775,Reimbursement-0001125,1284920.08,10/24/2019
Claim-000544,Reimbursement-0002047,1292514.68,1/21/2019
Claim-000577,Reimbursement-0001023,1042776.84,1/29/2019
Claim-0001455,Reimbursement-000420,1098391.61,5/10/2021
Claim-0003107,Reimbursement-0003044,1165640.07,6/10/2021
Claim-0003192,Reimbursement-0001084,1271194.62,3/3/2019
Claim-000589,Reimbursement-0003136,1036482.22,2/21/2021
Claim-000617,Reimbursement-0002032,964507.69,1/24/2020
Claim-0001048,Reimbursement-0002787,1081096.53,8/3/2019
Claim-0001583,Reimbursement-0003116,1081096.53,2/10/2019
Claim-0002855,Reimbursement-0001116,943814.43,1/26/2019
Claim-000716,Reimbursement-0002954,1158636.86,5/27/2019
Claim-000747,Reimbursement-0003599,1251033.98,2/13/2019
Claim-0002281,Reimbursement-0002473,1112030.21,4/5/2019
Claim-000773,Reimbursement-0001142,872647.37,6/1/2019
Claim-000781,Reimbursement-0001189,914202.01,5/6/2019
Claim-0001263,Reimbursement-0001086,753177.79,5/22/2019
Claim-0002879,Reimbursement-0002509,1131714.56,11/16/2019
Claim-000823,Reimbursement-0001503,1006577.68,12/31/2019
Claim-0003408,Reimbursement-000242,1074965.67,7/28/2020
Claim-000851,Reimbursement-000441,1336321.51,2/15/2019
Claim-0001367,Reimbursement-0002553,1393970.83,3/16/2019
Claim-0001024,Reimbursement-0001455,1259820.61,5/10/2019
Claim-0001309,Reimbursement-0003154,1032639.84,8/18/2019
Claim-0001839,Reimbursement-000764,986999.71,6/10/2019
Claim-0003443,Reimbursement-0002655,1028050.33,11/23/2018
Claim-0001043,Reimbursement-0001712,1117450.56,3/16/2019
Claim-0001690,Reimbursement-0002723,1076793.04,4/13/2019
Claim-0001760,Reimbursement-0001316,1000023.55,7/22/2019
Claim-0002562,Reimbursement-0003536,1330839.42,4/29/2019
Claim-0001102,Reimbursement-0002563,1164453.45,11/8/2021
Claim-0001137,Reimbursement-0003386,1524897.79,4/1/2019
Claim-0001198,Reimbursement-000191,1494940.06,2/20/2019
Claim-0002136,Reimbursement-000540,1191280.36,5/6/2019
Claim-0002778,Reimbursement-000315,1141378.24,6/17/2019
Claim-0001234,Reimbursement-000208,1038704.25,6/26/2019
Claim-0001475,Reimbursement-0001478,905227.56,8/11/2019
Claim-0002112,Reimbursement-0003321,785240.53,11/9/2018
Claim-0001259,Reimbursement-0003547,1157988.1,10/22/2020
Claim-0001288,Reimbursement-0002693,845159.84,1/7/2019
Claim-0001466,Reimbursement-0002007,840887.04,7/7/2019
Claim-0001579,Reimbursement-0002769,1063286.28,1/29/2019
Claim-0002566,Reimbursement-000833,863532.88,1/23/2020
Claim-0002583,Reimbursement-000292,855628.2,6/12/2019
Claim-0002867,Reimbursement-0001344,980607.6,6/30/2019
Claim-0003177,Reimbursement-0002734,861396.48,3/19/2019
Claim-0003215,Reimbursement-0001691,674461.48,9/4/2019
Claim-0003521,Reimbursement-0002218,762481.16,5/1/2019
Claim-0001302,Reimbursement-0001721,1342587.36,3/4/2021
Claim-0001812,Reimbursement-0002116,1155876.46,7/23/2021
Claim-0002110,Reimbursement-0003146,1123480.27,1/27/2019
Claim-0001382,Reimbursement-0001612,971180.58,3/6/2019
Claim-0001912,Reimbursement-0002044,1227929.47,8/3/2019
Claim-0001487,Reimbursement-0003596,910560.54,8/14/2018
Claim-0002513,Reimbursement-000797,1085058.2,1/17/2019
Claim-0001544,Reimbursement-000703,1252507.84,1/20/2020
Claim-0001945,Reimbursement-0002323,1094717.52,4/26/2019
Claim-0002040,Reimbursement-0001423,1029034.47,4/28/2019
Claim-0001660,Reimbursement-0001159,842545.93,1/25/2019
Claim-0002254,Reimbursement-0003428,1210575.97,5/10/2019
Claim-0003282,Reimbursement-000395,1143088.23,6/1/2019
Claim-0001711,Reimbursement-0003214,888057.71,11/26/2018
Claim-0002806,Reimbursement-0001003,1141442.42,2/9/2019
Claim-0003404,Reimbursement-0003005,1098807.9,6/27/2019
Claim-0003637,Reimbursement-000369,1229133.88,1/24/2021
Claim-0001773,Reimbursement-0002426,840143.4,11/14/2018
Claim-0002769,Reimbursement-0002664,1414978.36,10/23/2019
Claim-0001832,Reimbursement-0002152,1019568.21,4/30/2019
Claim-0003104,Reimbursement-000634,844490.84,8/8/2018
Claim-0003428,Reimbursement-000687,814085.25,5/18/2019
Claim-0001958,Reimbursement-0002204,939691.27,1/25/2020
Claim-0003616,Reimbursement-0002738,996989.52,6/21/2019
Claim-0001986,Reimbursement-0002782,1070885.76,5/2/2019
Claim-0002853,Reimbursement-000239,1429632.49,10/26/2019
Claim-0002069,Reimbursement-000892,966873.6,11/5/2018
Claim-0002221,Reimbursement-0001054,1034689.04,1/20/2021
Claim-0002650,Reimbursement-000255,1088439.12,4/28/2021
Claim-0002367,Reimbursement-0002161,976784.05,6/5/2021
Claim-0002777,Reimbursement-000184,951413.04,11/5/2020
Claim-0002581,Reimbursement-000534,1151615.52,5/5/2019
Claim-0002622,Reimbursement-0003372,993905.6,1/12/2021
Claim-0002758,Reimbursement-0001448,1188323.23,10/21/2020
Claim-0003420,Reimbursement-0001720,1038510.14,7/26/2019
Claim-0003543,Reimbursement-000330,1099598.98,8/24/2019
Claim-0002950,Reimbursement-0001328,868707.33,7/25/2019
Claim-0003365,Reimbursement-0001272,1236645.29,5/21/2019
Claim-0003391,Reimbursement-000988,1022246.3,7/21/2019
Claim-0002985,Reimbursement-0001321,1217588.95,12/6/2018
Claim-0002993,Reimbursement-0003435,1163875.84,4/5/2021
Claim-0003280,Reimbursement-0001038,1135214.25,11/11/2020
Claim-0003574,Reimbursement-0003158,1191082.94,7/17/2019
Claim-0003371,Reimbursement-000639,790617.98,2/23/2022
Claim-0005,Reimbursement-0002785,1369312.06,1/18/2020
Claim-000952,Reimbursement-0002921,1217166.27,4/11/2020
Claim-0002401,Reimbursement-0003291,1423777.69,1/23/2020
Claim-00053,Reimbursement-00075,959687.59,4/7/2019
Claim-000650,Reimbursement-0002905,1286853.81,2/6/2022
Claim-0001216,Reimbursement-0001178,1027780.72,2/16/2021
Claim-0001798,Reimbursement-000293,1117152.96,4/21/2019
Claim-0003544,Reimbursement-000658,983626.58,5/24/2019
Claim-00072,Reimbursement-0001137,858935.53,11/5/2019
Claim-0001591,Reimbursement-0002039,879392.1,3/23/2021
Claim-0003193,Reimbursement-000525,779515.88,2/9/2020
Claim-000116,Reimbursement-0003267,1085209.74,6/8/2019
Claim-000701,Reimbursement-000636,823262.56,10/5/2021
Claim-0001272,Reimbursement-000816,1204091.5,4/4/2020
Claim-0001883,Reimbursement-0002935,1226747.77,3/21/2020
Claim-0002158,Reimbursement-0002094,1291661.8,1/4/2019
Claim-0002263,Reimbursement-0002060,1291661.8,1/21/2021
Claim-000122,Reimbursement-000213,866284.01,7/3/2019
Claim-000719,Reimbursement-0003173,1225984.08,7/31/2019
Claim-0001849,Reimbursement-000709,782786.76,10/24/2019
Claim-0001911,Reimbursement-0002124,866029.45,10/29/2019
Claim-0002285,Reimbursement-0003265,986693.16,8/29/2019
Claim-000134,Reimbursement-0001690,1746549.1,10/4/2018
Claim-0001120,Reimbursement-0002555,1160628.13,3/4/2019
Claim-0002540,Reimbursement-0001427,1302046.59,1/14/2019
Claim-000137,Reimbursement-0003024,1266853.06,3/11/2019
Claim-0001339,Reimbursement-0002796,875409.7,11/17/2018
Claim-0002863,Reimbursement-0003256,928788.34,7/23/2019
Claim-0003630,Reimbursement-0001822,864733.97,7/25/2019
Claim-000161,Reimbursement-0001234,1113986.23,9/20/2018
Claim-000940,Reimbursement-0003198,1207119.82,5/10/2019
Claim-0001306,Reimbursement-0003097,1253234.51,9/17/2018
Claim-0001934,Reimbursement-000440,1341847.05,6/26/2019
Claim-0002039,Reimbursement-0003343,1470847.62,7/24/2018
Claim-0002321,Reimbursement-0002098,1609493.09,9/25/2018
Claim-000172,Reimbursement-0003421,1237887.5,8/27/2019
Claim-000185,Reimbursement-0001072,1348318.74,9/24/2018
Claim-0001841,Reimbursement-0005,996905.08,6/16/2019
Claim-000188,Reimbursement-0002598,1229843.87,11/25/2018
Claim-000198,Reimbursement-0003644,1171097.09,4/25/2021
Claim-0001554,Reimbursement-0001422,1017901.25,6/29/2020
Claim-0002955,Reimbursement-0003534,893642.4,10/15/2020
Claim-000205,Reimbursement-0002855,956204.03,3/18/2020
Claim-0002573,Reimbursement-00036,1018797.65,10/26/2018
Claim-0002717,Reimbursement-0003266,1573333.08,9/24/2020
Claim-0003156,Reimbursement-0001750,1383664.98,2/20/2020
Claim-000206,Reimbursement-0002707,1077205.52,7/12/2019
Claim-000292,Reimbursement-0002396,1187114.3,7/16/2019
Claim-0001646,Reimbursement-0001701,775826.69,1/5/2019
Claim-0002415,Reimbursement-0001681,831527.07,4/2/2019
Claim-000221,Reimbursement-0001291,912914.69,3/5/2019
Claim-0001557,Reimbursement-000680,992251.32,10/19/2019
Claim-0001669,Reimbursement-000863,1177007.87,1/15/2020
Claim-0003120,Reimbursement-0002436,1171573.85,6/5/2019
Claim-000243,Reimbursement-0002617,1403902.98,1/23/2020
Claim-0003332,Reimbursement-0001875,899375.34,7/26/2019
Claim-000249,Reimbursement-000444,1566997.33,12/27/2019
Claim-000426,Reimbursement-000186,1297080.96,10/20/2021
Claim-0002302,Reimbursement-0001766,1128769.26,1/10/2020
Claim-000291,Reimbursement-0003643,1300622.4,10/5/2020
Claim-0001091,Reimbursement-0003400,1313050.57,11/1/2018
Claim-000334,Reimbursement-0001290,1114071.15,4/23/2020
Claim-0002860,Reimbursement-000838,962837.57,3/17/2019
Claim-000391,Reimbursement-0002736,1348292.47,8/10/2019
Claim-000484,Reimbursement-000645,1265413.63,11/5/2018
Claim-000991,Reimbursement-0001803,926463.55,1/25/2019
Claim-0001361,Reimbursement-0002757,1456697.09,12/8/2019
Claim-000600,Reimbursement-0002254,978828.88,1/7/2019
Claim-0001154,Reimbursement-0002275,1424937.23,5/18/2019
Claim-0001522,Reimbursement-0002875,1239775.89,9/25/2019
Claim-0001937,Reimbursement-0001008,1012696.47,4/1/2019
Claim-0002471,Reimbursement-0003474,1521543.14,10/24/2018
Claim-0002874,Reimbursement-000676,910538.5,8/21/2019
Claim-0002958,Reimbursement-000707,1376911.87,11/26/2018
Claim-0003372,Reimbursement-0002115,1319170.41,9/29/2018
Claim-0003510,Reimbursement-0002018,1329164.12,11/15/2018
Claim-000601,Reimbursement-000158,1131864.03,3/25/2020
Claim-0001174,Reimbursement-0003532,1271253.2,6/29/2020
Claim-000643,Reimbursement-0001921,1116566.53,8/23/2019
Claim-0001241,Reimbursement-0002679,881186.43,1/3/2019
Claim-0001645,Reimbursement-0001476,1002372.22,10/20/2019
Claim-0002019,Reimbursement-000288,1036811.78,1/20/2019
Claim-0002137,Reimbursement-0002210,1247851.14,10/10/2019
Claim-000681,Reimbursement-0001322,1026593.2,11/8/2021
Claim-0001789,Reimbursement-0001952,932482.29,11/23/2021
Claim-0002611,Reimbursement-000535,1364608.22,4/25/2021
Claim-000692,Reimbursement-0003163,979455.68,6/5/2019
Claim-000857,Reimbursement-0002459,1283375.02,1/29/2019
Claim-0001655,Reimbursement-0002652,1400045.47,4/26/2019
Claim-0002081,Reimbursement-00082,1353377.29,1/31/2019
Claim-0003060,Reimbursement-000650,1150860.42,7/15/2019
Claim-0003356,Reimbursement-000562,1410704.25,7/7/2019
Claim-000693,Reimbursement-000673,946800.56,1/25/2019
Claim-0002397,Reimbursement-0003433,1005197.76,8/29/2019
Claim-0002680,Reimbursement-0001894,1082741.59,11/11/2018
Claim-000708,Reimbursement-0001286,1357603.03,2/3/2019
Claim-000887,Reimbursement-0002050,1507595.58,5/2/2019
Claim-000955,Reimbursement-0003505,1107899.52,11/5/2018
Claim-0001177,Reimbursement-0002807,1303912.51,3/7/2019
Claim-0002061,Reimbursement-0001981,1174941.65,6/23/2018
Claim-0002279,Reimbursement-0002011,999950.34,11/11/2018
Claim-0002430,Reimbursement-0002701,1068128.77,3/20/2019
Claim-0002868,Reimbursement-0001689,1392544.47,6/1/2019
Claim-0003154,Reimbursement-0003153,885183.31,11/26/2018
Claim-0003294,Reimbursement-0001315,1264709.91,7/31/2018
Claim-000749,Reimbursement-0002805,1188084.58,7/21/2019
Claim-000784,Reimbursement-0001390,877942.02,3/15/2019
Claim-0002837,Reimbursement-0002209,908240.56,11/16/2019
Claim-000767,Reimbursement-0001339,1466978.69,7/10/2019
Claim-0001112,Reimbursement-0001742,1372161.77,5/8/2019
Claim-000808,Reimbursement-0003125,1057699.42,12/28/2018
Claim-000810,Reimbursement-000163,1161590.04,1/6/2022
Claim-0002827,Reimbursement-000638,1062731.31,11/23/2019
Claim-0002859,Reimbursement-0003298,1359307.49,12/21/2019
Claim-000824,Reimbursement-0002573,1154370.07,5/17/2018
Claim-0001378,Reimbursement-000463,1340314.52,2/21/2021
Claim-0002754,Reimbursement-0002398,1484190.09,9/14/2018
Claim-0002808,Reimbursement-000890,1495408.45,8/25/2020
Claim-0003127,Reimbursement-000805,862412.04,9/14/2019
Claim-0003245,Reimbursement-0003360,1522613,3/12/2020
Claim-000886,Reimbursement-0002167,1320831.46,7/27/2019
Claim-0001261,Reimbursement-0002092,1048177.89,9/14/2019
Claim-0001415,Reimbursement-0001055,1189278.77,5/2/2019
Claim-0001430,Reimbursement-0002058,1342845.31,10/31/2019
Claim-0002312,Reimbursement-0003155,1050299.71,6/18/2019
Claim-0002605,Reimbursement-0001278,1021124.72,1/14/2019
Claim-0002736,Reimbursement-000432,1260359.65,6/30/2019
Claim-000900,Reimbursement-000556,1292954.61,9/27/2021
Claim-0002942,Reimbursement-0001986,1403668.02,5/13/2020
Claim-0003157,Reimbursement-000811,968881.44,8/23/2021
Claim-0003163,Reimbursement-0003317,1013945.69,4/7/2021
Claim-0003354,Reimbursement-0001464,1084880.16,10/12/2021
Claim-000910,Reimbursement-000302,1016953.06,1/12/2021
Claim-0001000,Reimbursement-000921,977673.92,7/1/2021
Claim-0001385,Reimbursement-0001333,1263927.37,7/18/2019
Claim-0001984,Reimbursement-0001442,994354.1,3/6/2021
Claim-000918,Reimbursement-0003603,1315880.29,2/22/2021
Claim-000919,Reimbursement-000782,1237776.69,8/4/2019
Claim-0001717,Reimbursement-0002101,1018323.94,7/14/2020
Claim-0001972,Reimbursement-000261,1170940.96,10/22/2019
Claim-0002948,Reimbursement-0001331,1077265.68,12/30/2020
Claim-0003125,Reimbursement-0001441,1337767.16,10/19/2020
Claim-0001033,Reimbursement-0002393,1447740.67,1/9/2020
Claim-0001570,Reimbursement-0003063,1050779.52,11/4/2018
Claim-0002635,Reimbursement-000523,1213650.35,10/6/2020
Claim-0001125,Reimbursement-000428,1411763.07,7/2/2018
Claim-0002241,Reimbursement-0002148,1292698.71,6/20/2018
Claim-0002551,Reimbursement-0003427,1108027.47,9/3/2020
Claim-0001168,Reimbursement-000936,966065.42,2/18/2020
Claim-0002771,Reimbursement-0001207,1185509.61,12/18/2020
Claim-0001270,Reimbursement-0001665,1303204.22,7/30/2020
Claim-0001330,Reimbursement-0001618,805006.44,7/19/2021
Claim-0003134,Reimbursement-0001899,1114777.91,6/14/2019
Claim-0001344,Reimbursement-0002517,1304368.33,1/29/2020
Claim-0001881,Reimbursement-0002665,1359885.54,4/1/2020
Claim-0001461,Reimbursement-0001480,1455980.42,2/24/2021
Claim-0001807,Reimbursement-000761,1307156.93,5/23/2021
Claim-0001829,Reimbursement-000271,1575378.74,7/6/2018
Claim-0002616,Reimbursement-0001568,1117025.01,2/21/2021
Claim-0003561,Reimbursement-0002946,1322718.32,12/3/2018
Claim-0001582,Reimbursement-0003585,1380119.73,11/1/2021
Claim-0001743,Reimbursement-0002493,1310132.12,12/31/2019
Claim-0002264,Reimbursement-0001447,1219778.18,2/10/2021
Claim-0003106,Reimbursement-0003366,1148205.68,3/18/2019
Claim-0001815,Reimbursement-0002267,1257302.59,4/5/2019
Claim-0003016,Reimbursement-000686,1401953.28,12/12/2018
Claim-0001964,Reimbursement-0001129,914008.54,12/12/2019
Claim-0002097,Reimbursement-000519,1178055.45,10/16/2019
Claim-0002095,Reimbursement-0003319,1147280.9,12/20/2018
Claim-0002354,Reimbursement-0001160,1499485.68,12/10/2018
Claim-0002858,Reimbursement-0003594,1325760.91,12/5/2018
Claim-0002176,Reimbursement-000689,1221654,1/7/2021
Claim-0002353,Reimbursement-0003071,1255916.48,4/14/2019
Claim-0003624,Reimbursement-0002504,1198063.44,6/8/2020
Claim-0002332,Reimbursement-0002395,1022990.64,9/30/2021
Claim-0003341,Reimbursement-0002194,1249301.22,1/9/2021
Claim-0002653,Reimbursement-000476,984673.97,2/6/2020
Claim-0003297,Reimbursement-0002854,1237478.91,4/30/2021
Claim-0002686,Reimbursement-0002716,1489872.38,2/15/2019
Claim-0003024,Reimbursement-0002215,886051.53,2/29/2020
Claim-0003035,Reimbursement-0003183,1487484.77,8/18/2019
Claim-0003234,Reimbursement-000332,1277200.92,9/22/2019
Claim-0003385,Reimbursement-000791,1293032.29,4/15/2021
Claim-0003462,Reimbursement-000839,1038944.26,9/22/2020
Claim-0003465,Reimbursement-0001532,1262558.77,2/22/2019
Claim-0003540,Reimbursement-0002428,1073442.45,6/11/2019
Claim-00010,Reimbursement-000731,489265.92,11/24/2018
Claim-000283,Reimbursement-000853,401841,8/30/2018
Claim-0003124,Reimbursement-0003566,697831.2,2/4/2020
Claim-00032,Reimbursement-0001565,682240.2,3/5/2019
Claim-000864,Reimbursement-0003425,591069.12,1/6/2019
Claim-0001111,Reimbursement-0001726,624872.56,3/10/2019
Claim-0002884,Reimbursement-0002641,736522.06,3/15/2019
Claim-0002939,Reimbursement-000546,499336.99,1/7/2019
Claim-0003164,Reimbursement-0001270,752932.86,8/13/2018
Claim-00060,Reimbursement-000190,690188.45,7/15/2019
Claim-0002404,Reimbursement-0001519,712817.58,3/24/2019
Claim-00088,Reimbursement-0002191,502708.05,8/7/2019
Claim-000630,Reimbursement-0002388,556187.63,7/28/2019
Claim-0002340,Reimbursement-0003029,453951.34,10/20/2019
Claim-000123,Reimbursement-0001887,531049.83,3/8/2019
Claim-0001572,Reimbursement-0002751,578708.15,3/16/2019
Claim-0003018,Reimbursement-000965,577376.09,3/18/2019
Claim-000152,Reimbursement-0002631,519281.66,9/20/2018
Claim-0001192,Reimbursement-0002711,556457.51,8/27/2020
Claim-0002268,Reimbursement-0002099,579323.61,3/8/2019
Claim-000167,Reimbursement-000846,442290.82,5/22/2019
Claim-0002295,Reimbursement-0001648,560720,2/23/2019
Claim-0003470,Reimbursement-0001780,586617.29,3/2/2019
Claim-000229,Reimbursement-000977,607497.63,10/3/2020
Claim-0002570,Reimbursement-000424,577620.7,5/10/2020
Claim-0003640,Reimbursement-0002485,392613.54,4/3/2020
Claim-000259,Reimbursement-000991,575157.04,8/1/2019
Claim-000703,Reimbursement-000681,445458.11,7/22/2020
Claim-0001008,Reimbursement-0001472,514993.04,2/4/2020
Claim-0002345,Reimbursement-000869,597565.76,2/5/2021
Claim-000274,Reimbursement-0001120,580614.14,1/11/2019
Claim-0001904,Reimbursement-0001846,789272.35,12/13/2018
Claim-000296,Reimbursement-0003625,721214.21,7/21/2018
Claim-000709,Reimbursement-0002713,543376.35,2/7/2019
Claim-000308,Reimbursement-0001068,698260.99,5/21/2019
Claim-000838,Reimbursement-0002913,535025.7,3/31/2019
Claim-0001012,Reimbursement-0003635,775472.54,5/14/2019
Claim-000343,Reimbursement-0001838,562301.52,3/2/2021
Claim-0003170,Reimbursement-0001573,577477.82,4/29/2019
Claim-000354,Reimbursement-0003373,476877.07,10/12/2021
Claim-0002582,Reimbursement-000204,523763.7,4/24/2021
Claim-0002847,Reimbursement-0002016,483002.96,3/29/2021
Claim-000418,Reimbursement-0002696,476354.74,11/27/2020
Claim-000513,Reimbursement-0002128,618854.02,10/13/2020
Claim-0001931,Reimbursement-000795,461019.1,7/3/2019
Claim-0002096,Reimbursement-0002523,549640.08,4/19/2021
Claim-000419,Reimbursement-0001305,443874.08,12/12/2019
Claim-000599,Reimbursement-0001490,623537.39,6/25/2021
Claim-0002687,Reimbursement-0002301,630360.05,9/5/2020
Claim-000461,Reimbursement-0002657,593526.1,11/28/2018
Claim-000807,Reimbursement-0002559,617751.66,5/5/2019
Claim-000861,Reimbursement-0001734,572550.32,4/28/2019
Claim-0002482,Reimbursement-000189,484511.1,12/14/2020
Claim-000464,Reimbursement-0002411,658580.74,12/12/2018
Claim-0001032,Reimbursement-0001391,603121.31,3/17/2021
Claim-0002044,Reimbursement-0001870,527875.57,12/27/2019
Claim-0002051,Reimbursement-0001149,666813,6/2/2019
Claim-0003426,Reimbursement-000195,581746.32,3/31/2019
Claim-0003486,Reimbursement-00040,703641.52,8/9/2021
Claim-000467,Reimbursement-0001677,658301.95,4/2/2021
Claim-0001213,Reimbursement-000742,583352.42,10/22/2019
Claim-0003298,Reimbursement-0002819,638638.39,5/14/2020
Claim-0003490,Reimbursement-0002648,626811.75,8/15/2018
Claim-0003501,Reimbursement-0001869,750920.19,3/3/2019
Claim-000489,Reimbursement-0001737,561857.4,11/27/2018
Claim-000574,Reimbursement-0003073,705310.36,9/23/2018
Claim-000501,Reimbursement-0001377,603869.38,4/17/2021
Claim-000908,Reimbursement-0002284,579448.19,7/18/2021
Claim-0002893,Reimbursement-0001624,526905.63,1/8/2021
Claim-000529,Reimbursement-0001683,596291.39,1/13/2019
Claim-000548,Reimbursement-0001035,504807.55,3/8/2019
Claim-0002610,Reimbursement-0001138,547614.54,5/30/2019
Claim-0003593,Reimbursement-0003135,647688.41,1/2/2019
Claim-000530,Reimbursement-000906,636581.77,2/28/2021
Claim-0001890,Reimbursement-000119,642391.52,6/16/2021
Claim-0002238,Reimbursement-0003066,594806.96,8/1/2021
Claim-000540,Reimbursement-0002614,748492.74,12/7/2021
Claim-0001627,Reimbursement-000945,720980.24,10/30/2019
Claim-0002706,Reimbursement-00081,666566.64,4/25/2020
Claim-000578,Reimbursement-00062,656212.23,3/2/2020
Claim-0001436,Reimbursement-0001595,874949.64,6/6/2020
Claim-0003189,Reimbursement-0003649,593219.83,2/11/2021
Claim-000594,Reimbursement-0001151,611320.65,1/27/2019
Claim-0001237,Reimbursement-000842,701657.51,9/28/2019
Claim-0003526,Reimbursement-0001273,818600.43,1/4/2019
Claim-000631,Reimbursement-0003555,698442.4,9/22/2020
Claim-000912,Reimbursement-0001548,818271.7,12/10/2019
Claim-000644,Reimbursement-000573,665201.86,8/18/2019
Claim-0001291,Reimbursement-000370,735223.1,7/12/2019
Claim-000664,Reimbursement-0003070,661027.07,5/8/2021
Claim-0001074,Reimbursement-0001162,652631.02,10/2/2019
Claim-0001100,Reimbursement-0002501,795686.71,3/19/2020
Claim-0002813,Reimbursement-0002606,618078.07,4/24/2021
Claim-000690,Reimbursement-000524,507310.21,11/1/2019
Claim-0002042,Reimbursement-0003147,567633.65,10/31/2019
Claim-0002785,Reimbursement-0001760,641801.81,3/7/2019
Claim-0002982,Reimbursement-0002477,458977.3,10/17/2019
Claim-000720,Reimbursement-0002126,735979.31,1/1/2020
Claim-0001909,Reimbursement-0001064,413471.52,12/24/2018
Claim-000726,Reimbursement-0002789,669482.35,10/22/2018
Claim-000760,Reimbursement-0001900,645137.54,7/22/2020
Claim-000901,Reimbursement-0002729,495590.83,5/3/2020
Claim-000971,Reimbursement-0001443,510081.79,10/30/2020
Claim-000738,Reimbursement-0001898,532892.13,7/11/2019
Claim-0002625,Reimbursement-0002252,451667.83,11/26/2019
Claim-0002738,Reimbursement-0002916,582234,1/1/2020
Claim-000744,Reimbursement-0002080,518359.35,3/17/2019
Claim-0001418,Reimbursement-0002144,594834.45,6/13/2019
Claim-0001874,Reimbursement-0002592,541276.56,5/13/2019
Claim-0002918,Reimbursement-000462,478602.43,5/7/2019
Claim-000766,Reimbursement-0001314,488873.88,4/21/2019
Claim-0001109,Reimbursement-000384,488249.52,11/19/2018
Claim-0001551,Reimbursement-0001912,689043.7,1/21/2020
Claim-0002702,Reimbursement-0002907,522339.58,10/4/2019
Claim-000871,Reimbursement-0002134,546447.62,1/3/2020
Claim-0002139,Reimbursement-000954,622635.02,8/3/2019
Claim-0002186,Reimbursement-0002567,551701.92,7/7/2019
Claim-000916,Reimbursement-0002266,580970.85,3/23/2019
Claim-0002020,Reimbursement-0002274,680705.34,10/21/2019
Claim-0002666,Reimbursement-0002097,674846.81,4/9/2021
